Country,CO2,Population,Happiness,Code,Year,Life Expectancy,SPM,Percentage of all deaths caused by air pollution
United Kingdom,77071055648.0,67059474.0,2760000000000.0,GBR,2019.0,81.7,0.9,2.4
United States,399000000000.0,335942003.0,21000000000000.0,USA,2019.0,79.1,1.54,2.0
Uruguay,353071942.0,3429086.0,53628827440.0,URY,2019.0,77.5,1.97,2.41
Uzbekistan,6034285830.0,33526656.0,5146832099969.799,UZB,2019.0,71.3,1.86,14.52
Vanuatu,4315060.0,311685.0,5146832099969.799,VUT,2019.0,69.9,2.28,18.81
Venezuela,7571193371.0,28490453.0,5146832099969.799,VEN,2019.0,72.2,1.23,6.68
Vietnam,3016099138.0,96648685.0,5146832099969.799,VNM,2019.0,74.1,1.28,11.26
World,1580000000000.0,33501070.952991452,84700000000000.0,OWID_WRL,2019.0,72.8,1.34,11.65
Yemen,619432763.0,32284046.0,5146832099969.799,YEM,2019.0,65.1,0.89,14.39
Zambia,187368600.0,18927715.0,18110631358.0,ZMB,2019.0,62.8,1.13,11.25
Zimbabwe,701987856.0,15669666.0,18051170799.0,ZWE,2019.0,61.3,1.89,11.0
American Samoa,17323728936.87446,46189.0,5146832099969.799,ASM,2019.0,72.3,1.03,3.52
Eswatini,17323728936.87446,1180655.0,3972728948.0,SWZ,2019.0,60.5,1.94,8.8
Guam,17323728936.87446,169231.0,5146832099969.799,GUM,2019.0,77.7,2.83,3.12
Monaco,17323728936.87446,36922.0,5146832099969.799,MCO,2019.0,86.5,1.04,3.12
North Macedonia,17323728936.87446,2111072.0,5146832099969.799,MKD,2019.0,77.3,0.88,12.74
Northern Mariana Islands,17323728936.87446,49587.0,5146832099969.799,MNP,2019.0,77.1,2.24,4.34
Puerto Rico,17323728936.87446,3271564.0,103000000000.0,PRI,2019.0,79.1,0.76,1.3
San Marino,17323728936.87446,34007.0,5146832099969.799,SMR,2019.0,83.0,1.4,2.2
Tokelau,17323728936.87446,1827.0,5146832099969.799,TKL,2019.0,75.1,1.18,1.97
United States Virgin Islands,17323728936.87446,100442.0,5146832099969.799,VIR,2019.0,75.1,0.69,2.35
African Region (WHO),,,,,,,,12.79
Czechia,,,,,,,,5.62
East Asia & Pacific (WB),,,,,,,,13.73
Eastern Mediterranean Region (WHO),,,,,,,,14.76
England,,,,,,,,2.57
Europe & Central Asia (WB),,,,,,,,5.15
European Region (WHO),,,,,,,,5.17
G20,,,,,,,,11.27
Latin America & Caribbean (WB),,,,,,,,5.77
Middle East & North Africa (WB),,,,,,,,12.8
North America (WB),,,,,,,,1.95
Northern Ireland,,,,,,,,1.93
OECD Countries,,,,,,,,3.55
Region of the Americas (WHO),,,,,,,,4.1
Scotland,,,,,,,,1.32
South Asia (WB),,,,,,,,18.05
South-East Asia Region (WHO),,,,,,,,16.95
Sub-Saharan Africa (WB),,,,,,,,13.07
Wales,,,,,,,,2.2
Western Pacific Region (WHO),,,,,,,,14.09
World Bank High Income,,,,,,,,3.35
World Bank Low Income,,,,,,,,15.97
World Bank Lower Middle Income,,,,,,,,15.39
World Bank Upper Middle Income,,,,,,,,12.02
